RDO:;NO. 15 ILAGAN, ISABELA;;;;
ALL LOTS;BARANGAY ROAD;RR;90.00;;
ALL LOTS;INTERIOR LOTS;RR;60.00;;
ALL LOTS;INTERIOR LOTS;A1;14.00;;
ALL LOTS;INTERIOR LOTS;A2;8.00;;
CITY/MUNICIPALITY:;CORDON;;;;
BARANGAY:;SAGAT;;;;
ALL LOTS;NATIONAL ROAD;CR;350.00;;
ALL LOTS;NATIONAL ROAD;X;60.00;;
ALL LOTS;BARANGAY ROAD;RR;150.00;;
ALL LOTS;INTERIOR LOTS;RR;60.00;;
ALL LOTS;INTERIOR LOTS;A1;15.00;;
ALL LOTS;INTERIOR LOTS;A2;9.00;;
CITY/MUNICIPALITY:;CORDON;;;;
BARANGAY:;SAN JUAN;;;;
ALL LOTS;BARANGAY ROAD;RR;80.00;;
ALL LOTS;BARANGAY ROAD;A1;15.00;;
ALL LOTS;BARANGAY ROAD;A2;8.00;;
CITY/MUNICIPALITY:;CORDON;;;;
BARANGAY:;TALIKTIK;;;;
ALL LOTS;BARANGAY ROAD;RR;60.00;;
ALL LOTS;BARANGAY ROAD;A1;13.50;;
ALL LOTS;BARANGAY ROAD;A2;8.00;;
CITY/MUNICIPALITY:;CORDON;;;;
BARANGAY:;TANGGAL;;;;
ALL LOTS;BARANGAY ROAD;RR;80.00;;
ALL LOTS;BARANGAY ROAD;A1;15.00;;
ALL LOTS;BARANGAY ROAD;A2;9.00;;
CITY/MUNICIPALITY:;CORDON;;;;
BARANGAY:;TARINGSING;;;;
ALL LOTS;NATIONAL ROAD;CR;500.00;;
ALL LOTS;NATIONAL ROAD;X;60.00;;
ALL LOTS;BARANGAY ROAD;RR;250.00;;
ALL LOTS;INTERIOR LOTS;RR;70.00;;
ALL LOTS;INTERIOR LOTS;A1;15.00;;
ALL LOTS;INTERIOR LOTS;A2;9.00;;
CITY/MUNICIPALITY:;CORDON;;;;
BARANGAY:;TUROD NORTE;;;;
ALL LOTS;NATIONAL ROAD;CR;500.00;;
ALL LOTS;NATIONAL ROAD;X;60.00;;
ALL LOTS;BARANGAY ROAD;RR;250.00;;
ALL LOTS;INTERIOR LOTS;RR;100.00;;
ALL LOTS;INTERIOR LOTS;A1;15.00;;
ALL LOTS;INTERIOR LOTS;A2;9.00;;
CITY/MUNICIPALITY:;CORDON;;;;
BARANGAY:;TUROD SUR;;;;
ALL LOTS;NATIONAL ROAD;RR;500.00;;
ALL LOTS;INTERIOR LOTS;RR;60.00;;
ALL LOTS;INTERIOR LOTS;A1;15.00;;
ALL LOTS;INTERIOR LOTS;A2;9.00;;
CITY/MUNICIPALITY:;CORDON;;;;
BARANGAY:;VILLAMARZO;;;;
ALL LOTS;BARANGAY ROAD;RR;80.00;;
ALL LOTS;BARANGAY ROAD;A1;13.50;;
ALL LOTS;BARANGAY ROAD;A2;9.00;;
CITY/MUNICIPALITY:;CORDON;;;;
BARANGAY:;VILLANIENBAN;;;;
ALL LOTS;BARANGAY ROAD;RR;60.00;;
ALL LOTS;BARANGAY ROAD;A1;13.50;;
ALL LOTS;BARANGAY ROAD;A2;8.00;;
CITY/MUNICIPALITY:;CORDON;;;;
BARANGAY:;WIGAN;;;;
ALL LOTS;BARANGAY ROAD;RR;80.00;;
ALL LOTS;BARANGAY ROAD;A1;13.50;;
ALL LOTS;BARANGAY ROAD;A2;8.00;;
CITY/MUNICIPALITY:;DELFIN ALABANO;;;;
BARANGAY:;AGA;;;;
ALL LOTS;PROVINCIAL ROAD;CR;125.00;;
ALL LOTS;PROVINCIAL ROAD;X;20.00;;
ALL LOTS;BARANGAY ROAD;RR;60.00;;
ALL LOTS;BARANGAY ROAD;A1;8.00;;
ALL LOTS;BARANGAY ROAD;A2;5.00;;
CITY/MUNICIPALITY:;DELFIN ALABANO;;;;
BARANGAY:;ANDARAYAN;;;;
ALL LOTS;BARANGAY ROAD;RR;60.00;;
ALL LOTS;BARANGAY ROAD;A1;8.00;;
ALL LOTS;BARANGAY ROAD;A2;5.00;;
CITY/MUNICIPALITY:;DELFIN ALABANO;;;;
BARANGAY:;ANEG;;;;
ALL LOTS;BARANGAY ROAD;RR;60.00;;
ALL LOTS;BARANGAY ROAD;A1;8.00;;
ALL LOTS;BARANGAY ROAD;A2;6.00;;
CITY/MUNICIPALITY:;DELFIN ALABANO;;;;
BARANGAY:;BAYABO;;;;
ALL LOTS;BARANGAY ROAD;RR;60.00;;
ALL LOTS;BARANGAY ROAD;A1;8.00;;
ALL LOTS;BARANGAY ROAD;A2;5.00;;
CITY/MUNICIPALITY:;DELFIN ALABANO;;;;
BARANGAY:;CALAOCAN;;;;
ALL LOTS;BARANGAY ROAD;RR;50.00;;
ALL LOTS;BARANGAY ROAD;A1;8.00;;
ALL LOTS;BARANGAY ROAD;A2;5.00;;
CITY/MUNICIPALITY:;DELFIN ALABANO;;;;
BARANGAY:;CALINAOAN SUR;;;;
ALL LOTS;PROVINCIAL ROAD;CR;130.00;;
ALL LOTS;PROVINCIAL ROAD;X;20.00;;
ALL LOTS;BARANGAY ROAD;RR;60.00;;
ALL LOTS;BARANGAY ROAD;A1;8.00;;
ALL LOTS;BARANGAY ROAD;A2;5.00;;
CITY/MUNICIPALITY:;DELFIN ALABANO;;;;
BARANGAY:;CAPITOL;;;;
ALL LOTS;BARANGAY ROAD;RR;60.00;;
ALL LOTS;BARANGAY ROAD;A1;8.00;;
ALL LOTS;BARANGAY ROAD;A2;5.00;;
CITY/MUNICIPALITY:;DELFIN ALABANO;;;;
BARANGAY:;CARMENCITA;;;;
ALL LOTS;PROVINCIAL ROAD;CR;100.00;;
ALL LOTS;PROVINCIAL ROAD;X;20.00;;
ALL LOTS;BARANGAY ROAD;RR;50.00;;
ALL LOTS;BARANGAY ROAD;A1;8.00;;
ALL LOTS;BARANGAY ROAD;A2;5.00;;
CITY/MUNICIPALITY:;DELFIN ALABANO;;;;
BARANGAY:;CONCEPCION;;;;
ALL LOTS;PROVINCIAL ROAD;CR;100.00;;
ALL LOTS;PROVINCIAL ROAD;X;20.00;;
ALL LOTS;BARANGAY ROAD;RR;50.00;;
ALL LOTS;BARANGAY ROAD;A1;8.00;;
ALL LOTS;BARANGAY ROAD;A2;5.00;;
CITY/MUNICIPALITY:;DELFIN ALABANO;;;;
BARANGAY:;MAUI;;;;
ALL LOTS;BARANGAY ROAD;RR;60.00;;
ALL LOTS;BARANGAY ROAD;A1;8.00;;
ALL LOTS;BARANGAY ROAD;A2;5.00;;
CITY/MUNICIPALITY:;DELFIN ALABANO;;;;
BARANGAY:;QUIBAL;;;;
ALL LOTS;PROVINCIAL ROAD;CR;100.00;;
ALL LOTS;PROVINCIAL ROAD;X;20.00;;
ALL LOTS;BARANGAY ROAD;RR;60.00;;
ALL LOTS;BARANGAY ROAD;A1;6.00;;
ALL LOTS;BARANGAY ROAD;A2;6.00;;
CITY/MUNICIPALITY:;DELFIN ALABANO;;;;
BARANGAY:;RAGAN ALMAUN;;;;
ALL LOTS;BARANGAY ROAD;RR;60.00;;
ALL LOTS;BARANGAY ROAD;A1;6.00;;
ALL LOTS;BARANGAY ROAD;A2;6.00;;
CITY/MUNICIPALITY:;DELFIN ALABANO;;;;
BARANGAY:;RAGAN NORTE;;;;
ALL LOTS;BARANGAY ROAD;RR;60.00;;
ALL LOTS;BARANGAY ROAD;A1;6.00;;
ALL LOTS;BARANGAY ROAD;A2;6.00;;
CITY/MUNICIPALITY:;DELFIN ALABANO;;;;
BARANGAY:;RAGAN SUR;;;;
ALL LOTS;PROVINCIAL ROAD;CR;125.00;;
ALL LOTS;PROVINCIAL ROAD;X;100.00;;
ALL LOTS;BARANGAY ROAD;RR;70.00;;
ALL LOTS;BARANGAY ROAD;A1;8.00;;
ALL LOTS;BARANGAY ROAD;A2;5.00;;
CITY/MUNICIPALITY:;DELFIN ALABANO;;;;
BARANGAY:;RIZAL;;;;
ALL LOTS;PROVINCIAL ROAD;CR;125.00;;
ALL LOTS;PROVINCIAL ROAD;X;50.00;;
ALL LOTS;BARANGAY ROAD;RR;60.00;;
ALL LOTS;BARANGAY ROAD;A1;8.00;;
ALL LOTS;BARANGAY ROAD;A2;5.00;;
CITY/MUNICIPALITY:;DELFIN ALABANO;;;;
BARANGAY:;SAN ANDRES;;;;
ALL LOTS;PROVINCIAL ROAD;CR;115.00;;
ALL LOTS;PROVINCIAL ROAD;X;50.00;;
ALL LOTS;BARANGAY ROAD;RR;60.00;;
ALL LOTS;BARANGAY ROAD;A1;6.00;;
ALL LOTS;BARANGAY ROAD;A2;5.00;;
CITY/MUNICIPALITY:;DELFIN ALABANO;;;;
BARANGAY:;SAN ANTONIO;;;;
ALL LOTS;PROVINCIAL ROAD;CR;150.00;;
ALL LOTS;PROVINCIAL ROAD;X;60.00;;
ALL LOTS;BARANGAY ROAD;RR;60.00;;
ALL LOTS;BARANGAY ROAD;A1;8.00;;
ALL LOTS;BARANGAY ROAD;A2;5.00;;
CITY/MUNICIPALITY:;DELFIN ALABANO;;;;
BARANGAY:;SAN ISIDRO;;;;
ALL LOTS;BARANGAY ROAD;RR;60.00;;
ALL LOTS;BARANGAY ROAD;A1;8.00;;
ALL LOTS;BARANGAY ROAD;A2;5.00;;
CITY/MUNICIPALITY:;DELFIN ALABANO;;;;
BARANGAY:;SAN JOSE;;;;
ALL LOTS;PROVINCIAL ROAD;CR;125.00;;
ALL LOTS;PROVINCIAL ROAD;X;60.00;;
ALL LOTS;BARANGAY ROAD;RR;60.00;;
ALL LOTS;BARANGAY ROAD;A1;8.00;;
ALL LOTS;BARANGAY ROAD;A2;5.00;;
CITY/MUNICIPALITY:;DELFIN ALABANO;;;;
BARANGAY:;SAN JUAN;;;;
ALL LOTS;PROVINCIAL ROAD;CR;150.00;;
ALL LOTS;PROVINCIAL ROAD;X;50.00;;
ALL LOTS;BARANGAY ROAD;RR;60.00;;
ALL LOTS;BARANGAY ROAD;A1;8.00;;
ALL LOTS;BARANGAY ROAD;A2;5.00;;
CITY/MUNICIPALITY:;DELFIN ALABANO;;;;
BARANGAY:;SAN NICOLAS;;;;
ALL LOTS;PROVINCIAL ROAD;CR;150.00;;
ALL LOTS;PROVINCIAL ROAD;X;40.00;;
ALL LOTS;BARANGAY ROAD;RR;70.00;;
ALL LOTS;BARANGAY ROAD;A1;10.00;;
ALL LOTS;BARANGAY ROAD;A2;5.00;;
CITY/MUNICIPALITY:;DELFIN ALABANO;;;;
BARANGAY:;SAN MACARIO;;;;
ALL LOTS;PROVINCIAL ROAD;X;40.00;;
ALL LOTS;PROVINCIAL ROAD;RR;50.00;;
ALL LOTS;BARANGAY ROAD;A1;10.00;;
ALL LOTS;BARANGAY ROAD;A2;5.00;;
CITY/MUNICIPALITY:;DELFIN ALABANO;;;;
BARANGAY:;SAN PATRICIO;;;;
ALL LOTS;PROVINCIAL ROAD;CR;125.00;;
ALL LOTS;PROVINCIAL ROAD;X;50.00;;
ALL LOTS;BARANGAY ROAD;RR;60.00;;
ALL LOTS;BARANGAY ROAD;A1;6.00;;
ALL LOTS;BARANGAY ROAD;A2;5.00;;
CITY/MUNICIPALITY:;DELFIN ALABANO;;;;
BARANGAY:;SAN ROQUE;;;;
ALL LOTS;PROVINCIAL ROAD;CR;115.00;;
ALL LOTS;PROVINCIAL ROAD;X;50.00;;
ALL LOTS;BARANGAY ROAD;RR;60.00;;
ALL LOTS;BARANGAY ROAD;A1;6.00;;
ALL LOTS;BARANGAY ROAD;A2;5.00;;
CITY/MUNICIPALITY:;DELFIN ALABANO;;;;
BARANGAY:;SANTOR;;;;
ALL LOTS;BARANGAY ROAD;RR;60.00;;
ALL LOTS;BARANGAY ROAD;A1;8.00;;
ALL LOTS;BARANGAY ROAD;A2;5.00;;
CITY/MUNICIPALITY:;DELFIN ALABANO;;;;
BARANGAY:;SANTO ROSARIO;;;;
ALL LOTS;BARANGAY ROAD;RR;60.00;;
ALL LOTS;BARANGAY ROAD;A1;8.00;;
ALL LOTS;BARANGAY ROAD;A2;5.00;;
CITY/MUNICIPALITY:;DELFIN ALABANO;;;;
BARANGAY:;VICITACION;;;;
ALL LOTS;PROVINCIAL ROAD;CR;105.00;;
ALL LOTS;PROVINCIAL ROAD;X;50.00;;
ALL LOTS;BARANGAY ROAD;RR;60.00;;
ALL LOTS;BARANGAY ROAD;A1;6.00;;
ALL LOTS;BARANGAY ROAD;A2;5.00;;
CITY/MUNICIPALITY:;DELFIN ALABANO;;;;
BARANGAY:;VILLA LUZ;;;;
ALL LOTS;PROVINCIAL ROAD;CR;125.00;;
ALL LOTS;PROVINCIAL ROAD;X;50.00;;
ALL LOTS;BARANGAY ROAD;RR;60.00;;
ALL LOTS;BARANGAY ROAD;A1;8.00;;
ALL LOTS;BARANGAY ROAD;A2;5.00;;
CITY/MUNICIPALITY:;DELFIN ALABANO;;;;
BARANGAY:;VILLA PEREDA;;;;
ALL LOTS;PROVINCIAL ROAD;X;40.00;;
ALL LOTS;PROVINCIAL ROAD;RR;60.00;;
ALL LOTS;BARANGAY ROAD;A1;10.00;;
CITY/MUNICIPALITY:;DINAPIGUI;;;;
BARANGAY:;ALL BARANGAYS;;;;
ALL LOTS;POBLACION;CR;100.00;;
ALL LOTS;POBLACION;RR;50.00;;
ALL LOTS;POBLACION;I;100.00;;
ALL LOTS;INTERIOR LOTS;RR;25.00;;
ALL LOTS;INTERIOR LOTS;A1;4.00;;
ALL LOTS;INTERIOR LOTS;A2;4.00;;
CITY/MUNICIPALITY:;DIVILACAN;;;;
BARANGAY:;ALL BARANGAYS;;;;
ALL LOTS;POBLACION;CR;100.00;;
ALL LOTS;POBLACION;RR;50.00;;
ALL LOTS;POBLACION;I;100.00;;
ALL LOTS;INTERIOR LOTS;RR;25.00;;
ALL LOTS;INTERIOR LOTS;A1;4.00;;
ALL LOTS;INTERIOR LOTS;A2;4.00;;
CITY/MUNICIPALITY:;ECHAGUE;;;;
BARANGAY:;ANAFUNAN;;;;
ALL LOTS;BARANGAY ROAD;RR;200.00;;
ALL LOTS;INTERIOR LOTS;RR;100.00;;
ALL LOTS;INTERIOR LOTS;A1;10.00;;
ALL LOTS;INTERIOR LOTS;A2;6.00;;
CITY/MUNICIPALITY:;ECHAGUE;;;;
BARANGAY:;ANGOLUAN;;;;
ALL LOTS;PROVINCIAL ROAD;CR;500.00;;
ALL LOTS;PROVINCIAL ROAD;RR;200.00;;
ALL LOTS;INTERIOR LOTS;RR;100.00;;
ALL LOTS;BARANGAY ROAD;A1;10.00;;
ALL LOTS;BARANGAY ROAD;A2;6.00;;
CITY/MUNICIPALITY:;ECHAGUE;;;;
BARANGAY:;ARABIAT;;;;
ALL LOTS;BARANGAY ROAD;RR;100.00;;
ALL LOTS;INTERIOR LOTS;RR;100.00;;
ALL LOTS;INTERIOR LOTS;A1;10.00;;
ALL LOTS;INTERIOR LOTS;A2;6.00;;
CITY/MUNICIPALITY:;ECHAGUE;;;;
BARANGAY:;AROMIN;;;;
ALL LOTS;BARANGAY ROAD;RR;100.00;;
ALL LOTS;BARANGAY ROAD;A1;8.00;;
ALL LOTS;BARANGAY ROAD;A2;6.00;;
CITY/MUNICIPALITY:;ECHAGUE;;;;
BARANGAY:;BABARAN;;;;
ALL LOTS;BARANGAY ROAD;RR;150.00;;
ALL LOTS;BARANGAY ROAD;A1;8.00;;
ALL LOTS;BARANGAY ROAD;A2;6.00;;
CITY/MUNICIPALITY:;ECHAGUE;;;;
BARANGAY:;BAEMADAL;;;;
ALL LOTS;BARANGAY ROAD;RR;100.00;;
ALL LOTS;BARANGAY ROAD;A1;8.00;;
ALL LOTS;BARANGAY ROAD;A2;5.00;;
CITY/MUNICIPALITY:;ECHAGUE;;;;
BARANGAY:;BENGUET;;;;
ALL LOTS;BARANGAY ROAD;RR;100.00;;
ALL LOTS;BARANGAY ROAD;A1;8.00;;
ALL LOTS;BARANGAY ROAD;A2;6.00;;
CITY/MUNICIPALITY:;ECHAGUE;;;;
BARANGAY:;BUNEG;;;;
ALL LOTS;PROVINCIAL ROAD;CR;300.00;;
ALL LOTS;PROVINCIAL ROAD;RR;150.00;;
ALL LOTS;INTERIOR LOTS;RR;100.00;;
ALL LOTS;INTERIOR LOTS;A1;15.00;;
ALL LOTS;BARANGAY ROAD;A2;6.00;;
CITY/MUNICIPALITY:;ECHAGUE;;;;
BARANGAY:;CABUGAO;;;;
ALL LOTS;PROVINCIAL ROAD;CR;500.00;;
ALL LOTS;PROVINCIAL ROAD;RR;200.00;;
ALL LOTS;INTERIOR LOTS;RR;100.00;;
ALL LOTS;BARANGAY ROAD;A1;15.00;;
ALL LOTS;BARANGAY ROAD;A2;6.00;;
CITY/MUNICIPALITY:;ECHAGUE;;;;
BARANGAY:;BUSILELAO;;;;
ALL LOTS;BARANGAY ROAD;RR;100.00;;
ALL LOTS;BARANGAY ROAD;A1;9.00;;
ALL LOTS;BARANGAY ROAD;A2;6.00;;
CITY/MUNICIPALITY:;ECHAGUE;;;;
BARANGAY:;DIASAN;;;;
ALL LOTS;BARANGAY ROAD;RR;180.00;;
ALL LOTS;BARANGAY ROAD;A1;10.00;;
ALL LOTS;BARANGAY ROAD;A2;6.00;;
CITY/MUNICIPALITY:;ECHAGUE;;;;
BARANGAY:;DICARAOYAN;;;;
ALL LOTS;BARANGAY ROAD;RR;100.00;;
ALL LOTS;BARANGAY ROAD;A1;10.00;;
ALL LOTS;BARANGAY ROAD;A2;6.00;;
CITY/MUNICIPALITY:;ECHAGUE;;;;
BARANGAY:;FUGU;;;;
ALL LOTS;BARANGAY ROAD;RR;100.00;;
ALL LOTS;BARANGAY ROAD;A1;15.00;;
ALL LOTS;BARANGAY ROAD;A2;6.00;;
CITY/MUNICIPALITY:;ECHAGUE;;;;
BARANGAY:;GUCAB;;;;
ALL LOTS;BARANGAY ROAD;RR;200.00;;
ALL LOTS;BARANGAY ROAD;CR;300.00;;
ALL LOTS;BARANGAY ROAD;A1;15.00;;
ALL LOTS;BARANGAY ROAD;A2;6.00;;
CITY/MUNICIPALITY:;ECHAGUE;;;;
BARANGAY:;GUMMABAWAN;;;;
ALL LOTS;BARANGAY ROAD;RR;150.00;;
ALL LOTS;BARANGAY ROAD;A1;14.00;;
ALL LOTS;BARANGAY ROAD;A2;8.00;;
CITY/MUNICIPALITY:;ECHAGUE;;;;
BARANGAY:;IPIL;;;;
ALL LOTS;PROVINCIAL ROAD;CR;600.00;;
ALL LOTS;PROVINCIAL ROAD;RR;250.00;;
ALL LOTS;INTERIOR LOT;RR;100.00;;
ALL LOTS;BARANGAY ROAD;A1;15.00;;
ALL LOTS;BARANGAY ROAD;A2;6.00;;
CITY/MUNICIPALITY:;ECHAGUE;;;;
BARANGAY:;LIBERTAD;;;;
ALL LOTS;BARANGAY ROAD;RR;250.00;;
ALL LOTS;BARANGAY ROAD;A1;10.00;;
ALL LOTS;BARANGAY ROAD;A2;6.00;;
CITY/MUNICIPALITY:;ECHAGUE;;;;
BARANGAY:;MABUHAY;;;;
ALL LOTS;PROVINCIAL ROAD;CR;300.00;;
ALL LOTS;PROVINCIAL ROAD;RR;100.00;;
ALL LOTS;INTERIOR LOTS;RR;80.00;;
ALL LOTS;BARANGAY ROAD;A1;10.00;;
ALL LOTS;BARANGAY ROAD;A2;6.00;;
CITY/MUNICIPALITY:;ECHAGUE;;;;
BARANGAY:;MADADAMIAN;;;;
ALL LOTS;BARANGAY ROAD;RR;100.00;;
ALL LOTS;BARANGAY ROAD;A1;8.00;;
ALL LOTS;BARANGAY ROAD;A2;5.00;;
CITY/MUNICIPALITY:;ECHAGUE;;;;
BARANGAY:;MAGTITICIA;;;;
ALL LOTS;BARANGAY ROAD;RR;80.00;;
ALL LOTS;BARANGAY ROAD;A1;6.00;;
ALL LOTS;BARANGAY ROAD;A2;4.00;;
CITY/MUNICIPALITY:;ECHAGUE;;;;
BARANGAY:;MALIBAGU;;;;
ALL LOTS;BARANGAY ROAD;RR;150.00;;
ALL LOTS;BARANGAY ROAD;A1;15.00;;
ALL LOTS;BARANGAY ROAD;A2;6.00;;
CITY/MUNICIPALITY:;ECHAGUE;;;;
BARANGAY:;MALIGAYA;;;;
ALL LOTS;PROVINCIAL ROAD;CR;300.00;;
ALL LOTS;PROVINCIAL ROAD;RR;150.00;;
ALL LOTS;BARANGAY ROAD;A1;15.00;;
ALL LOTS;BARANGAY ROAD;A2;6.00;;
CITY/MUNICIPALITY:;ECHAGUE;;;;
BARANGAY:;NARRA;;;;
ALL LOTS;BARANGAY ROAD;RR;100.00;;
ALL LOTS;BARANGAY ROAD;A1;8.00;;
ALL LOTS;BARANGAY ROAD;A2;5.00;;
CITY/MUNICIPALITY:;ECHAGUE;;;;
BARANGAY:;NILUMIGU;;;;
ALL LOTS;BARANGAY ROAD;RR;100.00;;
ALL LOTS;BARANGAY ROAD;A1;8.00;;
ALL LOTS;BARANGAY ROAD;A2;5.00;;
CITY/MUNICIPALITY:;ECHAGUE;;;;
BARANGAY:;PAG-ASA;;;;
ALL LOTS;BARANGAY ROAD;RR;150.00;;
ALL LOTS;BARANGAY ROAD;A1;8.00;;
ALL LOTS;BARANGAY ROAD;A2;6.00;;
CITY/MUNICIPALITY:;ECHAGUE;;;;
BARANGAY:;PENGAL NORTE;;;;
ALL LOTS;BARANGAY ROAD;RR;200.00;;
ALL LOTS;BARANGAY ROAD;A1;8.00;;
ALL LOTS;BARANGAY ROAD;A2;6.00;;
CITY/MUNICIPALITY:;ECHAGUE;;;;
BARANGAY:;PENGAL SUR;;;;
ALL LOTS;BARANGAY ROAD;RR;150.00;;
ALL LOTS;BARANGAY ROAD;A1;10.00;;
ALL LOTS;BARANGAY ROAD;A2;6.00;;
CITY/MUNICIPALITY:;ECHAGUE;;;;
BARANGAY:;RUMANG-AY;;;;
ALL LOTS;BARANGAY ROAD;RR;100.00;;
ALL LOTS;BARANGAY ROAD;A1;8.00;;
ALL LOTS;BARANGAY ROAD;A2;5.00;;
CITY/MUNICIPALITY:;ECHAGUE;;;;
BARANGAY:;SALVACION;;;;
ALL LOTS;BARANGAY ROAD;RR;100.00;;
ALL LOTS;BARANGAY ROAD;A1;8.00;;
ALL LOTS;BARANGAY ROAD;A2;5.00;;
CITY/MUNICIPALITY:;ECHAGUE;;;;
BARANGAY:;SAN ANTONIO;;;;
ALL LOTS;BARANGAY ROAD;RR;125.00;;
ALL LOTS;BARANGAY ROAD;A1;8.00;;
ALL LOTS;BARANGAY ROAD;A2;5.00;;
CITY/MUNICIPALITY:;ECHAGUE;;;;
BARANGAY:;SAN CARLOS;;;;
ALL LOTS;BARANGAY ROAD;RR;100.00;;
ALL LOTS;BARANGAY ROAD;A1;8.00;;
ALL LOTS;BARANGAY ROAD;A2;5.00;;
CITY/MUNICIPALITY:;ECHAGUE;;;;
BARANGAY:;SAN FABIAN;;;;
ALL LOTS;PROVINCIAL ROAD;CR;350.00;;
ALL LOTS;PROVINCIAL ROAD;RR;150.00;;
ALL LOTS;BARANGAY ROAD;A1;8.00;;
ALL LOTS;BARANGAY ROAD;A2;5.00;;
ALL LOTS;BARANGAY ROAD;X;80.00;;
CITY/MUNICIPALITY:;ECHAGUE;;;;
BARANGAY:;SAN FELIPE;;;;
ALL LOTS;BARANGAY ROAD;RR;100.00;;
ALL LOTS;BARANGAY ROAD;A1;8.00;;
ALL LOTS;BARANGAY ROAD;A2;5.00;;
CITY/MUNICIPALITY:;ECHAGUE;;;;
BARANGAY:;SAN JUAN;;;;
ALL LOTS;BARANGAY ROAD;RR;100.00;;
ALL LOTS;BARANGAY ROAD;A1;8.00;;
ALL LOTS;BARANGAY ROAD;A2;5.00;;
CITY/MUNICIPALITY:;ECHAGUE;;;;
BARANGAY:;SAN MANUEL;;;;
ALL LOTS;BARANGAY ROAD;RR;100.00;;
ALL LOTS;INTERIOR;RR;90.00;;
ALL LOTS;INTERIOR;A1;8.00;;
ALL LOTS;INTERIOR;A2;5.00;;
CITY/MUNICIPALITY:;ECHAGUE;;;;
BARANGAY:;SAN MIGUEL;;;;
ALL LOTS;BARANGAY ROAD;RR;100.00;;
ALL LOTS;BARANGAY ROAD;A1;8.00;;
ALL LOTS;BARANGAY ROAD;A2;5.00;;
CITY/MUNICIPALITY:;ECHAGUE;;;;
BARANGAY:;SAN SALVADOR;;;;
ALL LOTS;BARANGAY ROAD;RR;100.00;;
ALL LOTS;BARANGAY ROAD;A1;8.00;;
ALL LOTS;BARANGAY ROAD;A2;5.00;;
CITY/MUNICIPALITY:;ECHAGUE;;;;
BARANGAY:;SINABARAN;;;;
ALL LOTS;BARANGAY ROAD;RR;150.00;;
ALL LOTS;BARANGAY ROAD;A1;10.00;;
ALL LOTS;BARANGAY ROAD;A2;5.00;;
CITY/MUNICIPALITY:;ECHAGUE;;;;
BARANGAY:;SOYUNG;;;;
ALL LOTS;NATIONAL ROAD;RR;350.00;;
ALL LOTS;BARANGAY ROAD;A1;12.00;;
ALL LOTS;BARANGAY ROAD;A2;6.00;;
CITY/MUNICIPALITY:;ECHAGUE;;;;
BARANGAY:;SANTA ANA;;;;
ALL LOTS;BARANGAY ROAD;RR;100.00;;
ALL LOTS;BARANGAY ROAD;A1;10.00;;
ALL LOTS;BARANGAY ROAD;A2;6.00;;
CITY/MUNICIPALITY:;ECHAGUE;;;;
BARANGAY:;SANTA CRUZ;;;;
ALL LOTS;BARANGAY ROAD;RR;150.00;;
ALL LOTS;BARANGAY ROAD;A1;8.00;;
ALL LOTS;BARANGAY ROAD;A2;5.00;;
CITY/MUNICIPALITY:;ECHAGUE;;;;
BARANGAY:;SANTA MARIA;;;;
ALL LOTS;BARANGAY ROAD;RR;100.00;;
ALL LOTS;BARANGAY ROAD;A1;10.00;;
ALL LOTS;BARANGAY ROAD;A2;5.00;;
CITY/MUNICIPALITY:;ECHAGUE;;;;
BARANGAY:;SANTA MONICA;;;;
ALL LOTS;BARANGAY ROAD;RR;150.00;;
ALL LOTS;BARANGAY ROAD;A1;8.00;;
ALL LOTS;BARANGAY ROAD;A2;5.00;;
CITY/MUNICIPALITY:;ECHAGUE;;;;
BARANGAY:;SANTO DOMINGO;;;;
ALL LOTS;PROVINCIAL ROAD;CR;300.00;;
ALL LOTS;PROVINCIAL ROAD;RR;150.00;;
ALL LOTS;BARANGAY ROAD;A1;8.00;;
ALL LOTS;BARANGAY ROAD;A2;6.00;;
CITY/MUNICIPALITY:;ECHAGUE;;;;
BARANGAY:;TANGGAPAN;;;;
ALL LOTS;BARANGAY ROAD;RR;300.00;;
ALL LOTS;BARANGAY ROAD;A1;12.00;;
ALL LOTS;BARANGAY ROAD;A2;6.00;;
CITY/MUNICIPALITY:;ECHAGUE;;;;
BARANGAY:;TUGUEGARAO;;;;
ALL LOTS;PROVINCIAL ROAD;CR;300.00;;
ALL LOTS;PROVINCIAL ROAD;RR;150.00;;
ALL LOTS;INTERIOR;RR;100.00;;
ALL LOTS;BARANGAY ROAD;A1;10.00;;
ALL LOTS;BARANGAY ROAD;A2;5.00;;
CITY/MUNICIPALITY:;ECHAGUE;;;;
BARANGAY:;VILLA FERMIN;;;;
ALL LOTS;BARANGAY ROAD;RR;150.00;;
ALL LOTS;INTERIOR;RR;90.00;;
ALL LOTS;INTERIOR;A1;8.00;;
ALL LOTS;INTERIOR;A2;5.00;;
CITY/MUNICIPALITY:;ECHAGUE;;;;
BARANGAY:;VILLA OCAMPO;;;;
ALL LOTS;BARANGAY ROAD;RR;100.00;;
ALL LOTS;BARANGAY ROAD;A1;8.00;;
ALL LOTS;BARANGAY ROAD;A2;5.00;;
CITY/MUNICIPALITY:;ECHAGUE;;;;
BARANGAY:;VILLA REY;;;;
ALL LOTS;BARANGAY ROAD;RR;100.00;;
ALL LOTS;BARANGAY ROAD;A1;8.00;;
ALL LOTS;BARANGAY ROAD;A2;5.00;;
