RDO:;RDO NO. 51 - PASAY CITY;;;;
INTERIOR STREETS;;APD;0.00;AREA FOR PRIORITY DEVELOPMENT;
BARANGAY:;BARANGAY 156 ZONE 16;;;;
ALL OTHER STREETS;;RR;4,500.00;;
ALL OTHER STREETS;;CR;8,000.00;;
ALL OTHER STREETS;ALONG & NEAR ESTERO DE TRIPA       DE GALLINA;RR;3,500.00;;
INTERIOR STREETS;;RR;4,000.00;;
INTERIOR STREETS;;APD;;;
BARANGAY:;BARANGAY 157 ZONE 16;;;;
ALL OTHER STREETS;;RR;4,500.00;;
ALL OTHER STREETS;;CR;8,500.00;;
ALL OTHER STREETS;ALONG & NEAR ESTERO DE TRIPA       DE GALLINA;RR;3,500.00;;
INTERIOR STREETS;;RR;4,000.00;;
INTERIOR STREETS;;APD;0.00;AREA FOR PRIORITY DEVELOPMENT;
BARANGAY:;BARANGAY 144 ZONE 17 (Formerly BARANGAY 144 Zone 15);;;;
BONIFACIO;;RR;7,000.00;;
E. RODRIGUEZ SR EXT;;RR;7,000.00;;
EDSA;CREEK - MAKATI BDRY;CR;30,000.00;;
EDSA;CREEK - MAKATI BDRY;RR;25,000.00;;
M REYES;;RR;7,000.00;;
WOOD;;RR;7,000.00;;
ALL OTHER STREETS;;RR;5,000.00;;
ALL OTHER STREETS;;CR;15,000.00;;
ALL OTHER STREETS;INTERIOR STREETS;RR;6,000.00;;
BARANGAY:;BARANGAY 158 ZONE 17;;;;
APELO CRUZ;CREEK-RODRIGUEZ;RR;4,500.00;;
E RODRIGUEZ;EDSA-APELO CRUZ;RR;8,000.00;;
EDSA;CREEK-RODRIGUEZ;CR;28,000.00;;
EDSA;CREEK-RODRIGUEZ;RR;24,000.00;;
INTERIOR EDSA;;RR;18,000.00;;
ALL OTHER STREETS;;RR;7,500.00;;
ALL OTHER STREETS;;CR;15,000.00;;
OTHER INTERIOR STREETS;;RR;6,000.00;;
BARANGAY:;BARANGAY 159 ZONE 17;;;;
E RODRIGUEZ;EDSA-PATINIO;RR;8,000.00;;
EDSA;RODRIGUEZ-C JOSE;CR;28,000.00;;
EDSA;RODRIGUEZ-C JOSE;RR;24,000.00;;
INTERIOR EDSA;;RR;18,000.00;;
ESTANISLAO;;RR;5,500.00;;
FRANCISCO;;RR;5,500.00;;
PATINIO;RODRIGUEZ-C JOSE;RR;5,500.00;;
ALL OTHER STREETS;;RR;5,500.00;;
ALL OTHER STREETS;;CR;15,000.00;;
OTHER INTERIOR STREETS;;RR;4,500.00;;
BARANGAY:;BARANGAY 160 ZONE 17;;;;
C JOSE;PATINIO-F CRUZ;RR;5,500.00;;
E RODRIGUEZ;PATINIO-F CRUZ;RR;5,500.00;;
F CRUZ;RODRIGUEZ-C CRUZ;RR;5,500.00;;
PATINIO;RODRIGUEZ-C CRUZ;RR;5,500.00;;
ALL OTHER STREETS;;RR;5,500.00;;
ALL OTHER STREETS;;CR;7,500.00;;
BARANGAY:;BARANGAY 161 ZONE 17;;;;
APELO CRUZ;RODRIGUEZ-C JOSE;RR;5,500.00;;
C JOSE;APELO CRUZ-PATINIO;RR;5,500.00;;
CORNEJO;;RR;5,500.00;;
DIONISIO;;RR;5,500.00;;
DOMINGUEZ;APELO CRUZ-F CRUZ;RR;5,500.00;;
E RODRIGUEZ;F CRUZ-APELO CRUZ;RR;5,500.00;;
F CRUZ;RODRIGUEZ-C JOSE;RR;5,500.00;;
TOLENTINO;;RR;5,500.00;;
ALL OTHER STREETS;;CR;7,500.00;;
ALL OTHER STREETS;;RR;5,000.00;;
OTHER INTERIOR STREETS;;RR;4,500.00;;
BARANGAY:;BARANGAY 166 ZONE 17;;;;
APELO CRUZ;C JOSE-P SANTOS;RR;6,000.00;;
C JOSE;EDSA-APELO CRUZ;RR;7,500.00;;
EDSA;C JOSE-P SANTOS;CR;28,000.00;;
EDSA;C JOSE-P SANTOS;RR;24,000.00;;
INTERIOR EDSA;;RR;18,000.00;;
F CRUZ;C JOSE-P SANTOS;RR;6,000.00;;
P SANTOS;EDSA-APELO CRUZ;RR;6,500.00;;
V CRUZ;C JOSE-P SANTOS;RR;6,000.00;;
ALL OTHER STREETS;;RR;6,000.00;;
ALL OTHER STREETS;;CR;15,000.00;;
INTERIOR STREETS;;RR;4,500.00;;
BARANGAY:;BARANGAY 169 ZONE 17;;;;
ALL OTHER STREETS;;RR;4,000.00;;
ALL OTHER STREETS;;CR;7,000.00;;
INTERIOR STREETS;;RR;3,500.00;;
INTERIOR STREETS;;APD;;;
BARANGAY:;BARANGAY 170 ZONE 17;;;;
ALL OTHER STREETS;;RR;4,000.00;;
ALL OTHER STREETS;;CR;7,000.00;;
INTERIOR STREETS;;RR;3,500.00;;
INTERIOR STREETS;;APD;0.00;AREA FOR PRIORITY DEVELOPMENT;
BARANGAY:;BARANGAY 171 ZONE 17;;;;
DE GUZMAN;P SANTOS-MAKATI BDRY;RR;5,500.00;;
F CRUZ;P SANTOS-MAKATI BDRY;RR;5,500.00;;
P SANTOS;DE GUZMAN-V VIZCARRA;RR;5,500.00;;
V VIZCARRA;P SANTOS-MAKATI BDRY;RR;5,500.00;;
ALL OTHER STREETS;;RR;5,000.00;;
ALL OTHER STREETS;;CR;7,500.00;;
INTERIOR STREETS;;RR;4,500.00;;
BARANGAY:;BARANGAY 172 ZONE 17;;;;
I SANTOS;;RR;5,500.00;;
M GERONIMO;P SANTOS-MAKATI BDRY;RR;5,500.00;;
P SANTOS;V VIZCARRA-GERONIMO;RR;5,500.00;;
V VIZCARRA;P SANTOS-MAKATI BDRY;RR;5,500.00;;
ALL OTHER STREETS;;RR;5,500.00;;
ALL OTHER STREETS;;CR;7,500.00;;
INTERIOR STREETS;;RR;4,500.00;;
BARANGAY:;BARANGAY 173 ZONE 17;;;;
M GERONIMO;P SANTOS-MAKATI BDRY;RR;5,500.00;;
M TENGCO;P SANTOS-MAKATI BDRY;RR;5,500.00;;
P SANTOS;M GERONIMO-M TENGCO;RR;5,500.00;;
ALL OTHER STREETS;;RR;5,500.00;;
ALL OTHER STREETS;;CR;7,500.00;;
INTERIOR STREETS;;RR;4,500.00;;
BARANGAY:;BARANGAY 174 ZONE 17;;;;
APELO CRUZ EXT;P SANTOS-MAKATI BDRY;RR;5,500.00;;
M TENGCO;P SANTOS-MAKATI BDRY;RR;5,500.00;;
P SANTOS;M TENGCO-A CRUZ EXT;RR;5,500.00;;
ALL OTHER STREETS;;RR;5,500.00;;
ALL OTHER STREETS;;CR;7,500.00;;
INTERIOR  STREETS;;RR;4,500.00;;
BARANGAY:;BARANGAY 162 ZONE 18;;;;
APELO CRUZ;CREEK-C JOSE;RR;5,500.00;;
C JOSE;APELO CRUZ-E CORNEJO;RR;5,500.00;;
E CORNEJO;CREEK-C JOSE;RR;5,500.00;;
RODRIGUEZ;APELO CRUZ-E CORNEJO;RR;5,500.00;;
ALL OTHER STREETS;;RR;5,500.00;;
ALL OTHER STREETS;;CR;7,500.00;;
INTERIOR STREETS;;RR;4,500.00;;
BARANGAY:;BARANGAY 163 ZONE 18;;;;
C JOSE;E CORNEJO-VITALES;RR;5,500.00;;
DE GUZMAN;;RR;5,500.00;;
E CORNEJO;CREEK-C JOSE;RR;5,500.00;;
RODRIGUEZ;E CORNEJO-DE GUZMAN;RR;5,500.00;;
VITALES;C JOSE-RODRIGUEZ;RR;5,500.00;;
ALL OTHER STREETS;;RR;5,500.00;;
ALL OTHER STREETS;;CR;7,500.00;;
INTERIOR STREETS;;RR;4,500.00;;
BARANGAY:;BARANGAY 164 ZONE 18;;;;
C JOSE;VITALES-DE GUZMAN;RR;5,500.00;;
DE GUZMAN;RODRIGUEZ-C JOSE;RR;5,500.00;;
RODRIGUEZ;VITALES-DE GUZMAN;RR;5,500.00;;
VITALES;RODRIGUEZ-C JOSE;RR;5,500.00;;
ALL OTHER STREETS;;RR;5,500.00;;
ALL OTHER STREETS;;CR;7,500.00;;
INTERIOR STREETS;;RR;4,500.00;;
BARANGAY:;BARANGAY 165 ZONE 18;;;;
C JOSE;DE GUZMAN-CREEK;RR;5,500.00;;
DE GUZMAN;;RR;5,500.00;;
E RODRIGUEZ;;RR;5,500.00;;
VITALES;;RR;5,500.00;;
ALL OTHER STREETS;;RR;5,500.00;;
ALL OTHER STREETS;;CR;7,500.00;;
INTERIOR STREETS;;RR;4,500.00;;
BARANGAY:;BARANGAY 167 ZONE 18;;;;
APELO CRUZ;C JOSE-P SANTOS;RR;5,500.00;;
C JOSE;APELO CRUZ-MAYON;RR;5,500.00;;
P SANTOS;MAYON-APELO CRUZ EXT;RR;5,500.00;;
ALL OTHER STREETS;;RR;5,500.00;;
ALL OTHER STREETS;;CR;7,500.00;;
INTERIOR STREETS;;RR;4,500.00;;
BARANGAY:;BARANGAY 168 ZONE 18;;;;
C JOSE;;RR;5,500.00;;
DE GUZMAN;;RR;5,500.00;;
P SANTOS;;RR;5,500.00;;
ALL OTHER STREETS;;RR;5,500.00;;
ALL OTHER STREETS;;CR;7,500.00;;
INTERIOR STREETS;;RR;4,500.00;;
BARANGAY:;BARANGAY 175 ZONE 18;;;;
APELO CRUZ;;RR;5,500.00;;
E FLORES;;RR;5,500.00;;
P SANTOS;;RR;5,500.00;;
R ESCANO;;RR;5,500.00;;
ALL OTHER STREETS;;RR;5,500.00;;
ALL OTHER STREETS;;CR;7,500.00;;
INTERIOR STREETS;;RR;4,500.00;;
BARANGAY:;BARANGAY 176 ZONE 18;;;;
APELO CRUZ EXT;;RR;5,500.00;;
E FLORES;;RR;5,500.00;;
ESTEBAN;;RR;5,500.00;;
LIGAYA;;RR;5,500.00;;
MARCELA;;RR;5,500.00;;
R ESCANO;;RR;5,500.00;;
ALL OTHER STREETS;;RR;5,500.00;;
ALL OTHER STREETS;;CR;7,500.00;;
INTERIOR STREETS;;RR;4,500.00;;
BARANGAY:;BARANGAY 177 ZONE 18;;;;
DE GUZMAN;;RR;5,500.00;;
ESTEBAN;;RR;5,500.00;;
MARCELA;;RR;5,500.00;;
MARCELO;;RR;5,500.00;;
MAYOR;;RR;5,500.00;;
P SANTOS;;RR;5,500.00;;
ALL OTHER STREETS;;RR;5,500.00;;
ALL OTHER STREETS;;CR;7,500.00;;
INTERIOR STREETS;;RR;4,500.00;;
ALL OTHER BARANGAYS NOT MENTIONED ABOVE (BARANGAYS 178 TO 190, ZONE 19);;RR;5,000.00;;
ALL OTHER BARANGAYS NOT MENTIONED ABOVE (BARANGAYS 178 TO 190, ZONE 19);;CR;12,000.00;;
UNDEVELOPED RECLAIMED AREA - MANILA BAY   (ROXAS BLVD);;RR;20,000.00;;
UNDEVELOPED RECLAIMED AREA - MANILA BAY   (ROXAS BLVD);;CR;28,000.00;;
DEVELOPED RECLAIMED AREA - MANILA BAY (ROXAS BLVD);;RR;35,000.00;;
DEVELOPED RECLAIMED AREA - MANILA BAY (ROXAS BLVD);;CR;40,000.00;;
ALL STREETS;DOMESTIC TERMINAL;RR;18,000.00;;
ALL STREETS;DOMESTIC TERMINAL;CR;25,000.00;;
ALL STREETS;OLD MIA;RR;15,000.00;;
ALL STREETS;OLD MIA;CR;25,000.00;;
ALL STREETS;NAIA;RR;25,000.00;;
ALL STREETS;NAIA;CR;30,000.00;;
CONDOMINIUMS AND TOWNHOUSES;;;;;
PAGE CONDOMINIUM;P. BURGOS;RC;15,000.00;;
FEROSA CONDOMINIUM;COR. DONADA & SAN JUAN;RC;24,000.00;;
FEROSA CONDOMINIUM;COR. DONADA & SAN JUAN;CC;28,000.00;;
SUNSET VIEW CONDO;ROXAS BLVD;RC;34,000.00;;
SUNSET VIEW CONDO;ROXAS BLVD;CC;38,000.00;;
MARABELLA CONDO;ROXAS BLVD;RC;34,000.00;;
MARABELLA CONDO;ROXAS BLVD;CC;38,000.00;;
DIPLOMAT CONDO;COR. RUSSEL & ROXAS;RC;34,000.00;;
DIPLOMAT CONDO;COR. RUSSEL & ROXAS;CC;38,000.00;;
ALIN CONDOMINIUM I;BUENDIA AVE;RC;30,000.00;;
ALIN CONDOMINIUM I;BUENDIA AVE;CC;35,000.00;;
JOLLILAND;EDSA;RC;34,000.00;;
JOLLILAND;EDSA;CC;38,000.00;;
SEAFRONT GARDEN;ROXAS BLVD;RC;38,000.00;;
SEAFRONT GARDEN;ROXAS BLVD;CC;42,000.00;;
ALL OTHER CONDOMINIUMS/ TOWNHOUSES;;RC;25,000.00;;
ALL OTHER CONDOMINIUMS/ TOWNHOUSES;;CC;30,000.00;;
KALAYAAN VILLA;NAIA/MERVILLE (NHA);RR;7,000.00;;
KALAYAAN VILLA;NAIA/MERVILLE (NHA);CR;10,000.00;;
GOLDLAND PROPERTIES;VILLARUEL ST;RR;15,000.00;;
TOWNHOUSE & DEV'T CORP.;;CR;18,000.00;;
TALAGANG KAPATIRAN;AURORA ST (TRAMO);RR;4,000.00;;
TALAGANG KAPATIRAN;AURORA ST (TRAMO);CR;8,000.00;;
TRAMO LINE UPGRADING;TRAMO (NHA);RR;4,000.00;;
TRAMO LINE UPGRADING;TRAMO (NHA);CR;8,000.00;;
ILDEFONSO ONG;MAGTIBAY ST.;RR;4,000.00;;
ILDEFONSO ONG;M DELA CRUZ;CR;7,000.00;;
