RDO:;RDO NO. 40 - CUBAO QUEZON CITY;;;(FORMERLY RDO No. 30A-SOUTH Q.C.);
SOUTH AVE.(TIMOG AV;QUADRANGLE;RR;8,000.00;;
SOUTH AVE.(TIMOG AV;QUADRANGLE;CR;12,000.00;;
SCT. ALBANO;QUADRANGLE;RR;5,000.00;;
SCT. ALBANO;QUADRANGLE;APD;0.00;APD -   NO.  53 SCT ALBANO  NE   -  BOHOL AVE.   NW  -   MO. IGNACIA    S   -  SCOUT ALBANO;
SCT. BAYORAN;QUADRANGLE;RR;5,000.00;;
SCT. BAYORAN;QUADRANGLE;APD;;APD -   NO.  4  MOTHER IGNACIA COR. SCT. BAYORAN, KAMUNING   NW   -   MO. IGNACIA ST. EXTENDING TO THE COR. OF SCT. ALBANO   E  -   SCT. TUASON S   -  SCT. BORROMEO;
SCT. BORROMEO;QUADRANGLE;RR;5,000.00;;
SCT. BORROMEO;QUADRANGLE;APD;0.00;APD -   NO. 2 JUSMAG, SOUTH TRIANGLE COVERING     SCT. TORILLO AND SCT BAYORAN  N   -   SCT. BAYORAN     NE  -   BOHOL AVE.   S   -  SCT. BORROMEO     W  -  T. MORATO;
SGT. ESGUERRA (BOHOL;QUADRANGLE;RR;5,000.00;;
SGT. ESGUERRA (BOHOL;QUADRANGLE;CR;7,000.00;;
ALL OTHER STREETS;QUADRANGLE;RR;5,000.00;;
TOWNHOUSE (CCT);QUADRANGLE;RC;10,000.00;;
CONDOMINIUM;QUADRANGLE;RC;15,000.00;;
CONDOMINIUM;QUADRANGLE;CC;20,000.00;;
CONDOMINIUM;QUADRANGLE;;;;
BARANGAY:;SAINT IGNATIUS;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;2ND REV. ZV/SQ.M.;;
ASTORIA;MURPHY;RR;5,000.00;;
B.SERRANO (SANTOLAN);MURPHY;RR;5,000.00;;
1ST TO 4TH STREET;MURPHY;RR;5,000.00;;
FORDHAM;MURPHY;RR;5,000.00;;
JAMAICA;MURPHY;RR;5,000.00;;
KATIPUNAN AVE.;MURPHY;RR;5,000.00;;
KAU GARDEN KEW;MURPHY;RR;5,000.00;;
RIVERA;MURPHY;RR;5,000.00;;
RIVERDALE;MURPHY;RR;5,000.00;;
WOODSIDE;MURPHY;RR;5,000.00;;
ALL OTHER STREETS;MURPHY;RR;5,000.00;;
TOWNHOUSE (CCT);MURPHY;RC;10,000.00;;
CONDOMINIUM;MURPHY;RC;15,000.00;;
CONDOMINIUM;MURPHY;CC;20,000.00;;
BARANGAY:;SANTO NINO;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;2ND REV. ZV/SQ.M.;;
BAGUMBUHAY;GALAS;RR;3,000.00;;
BATAAN;GALAS;RR;3,000.00;;
BATANES;GALAS;RR;3,000.00;;
BIAK NA BATO;GALAS;RR;3,000.00;;
BUSTAMANTE;GALAS;RR;3,000.00;;
4TH DE JULIO;GALAS;RR;3,000.00;;
LIBERATION;GALAS;RR;3,000.00;;
MINDANAO;GALAS;RR;3,000.00;;
SAN ISIDRO;GALAS;RR;3,000.00;;
UNANG HAKBANG;GALAS;RR;3,000.00;;
UNION CIVICA;GALAS;RR;3,000.00;;
VISAYAS AVE.;GALAS;RR;3,000.00;;
WOMEN'S CLUB;GALAS;RR;3,000.00;;
ALL OTHER STREETS;GALAS;RR;3,000.00;;
TOWNHOUSE (CCT);GALAS;RC;10,000.00;;
TOWNHOUSE (CCT);GALAS;RC;15,000.00;;
TOWNHOUSE (CCT);GALAS;CC;20,000.00;;
TOWNHOUSE (CCT);GALAS;;;;
BARANGAY:;TAGUMPAY;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;2ND REV. ZV/SQ.M.;;
20TH AVENUE;QUIRINO;CR;7,000.00;;
20TH AVENUE;QUIRINO;I;7,000.00;;
21ST AVENUE;;RR;3,000.00;;
P. TUASON;;CR;7,000.00;;
P. TUASON;;RR;5,000.00;;
CENTURY CPD;;RR;4,000.00;;
ALL OTHER STREETS;;RR;4,000.00;;
TOWNHOUSE (CCT);;RC;10,000.00;;
CONDOMINIUM;;RC;15,000.00;;
CONDOMINIUM;;CC;20,000.00;;
CONDOMINIUM;;;;;
BARANGAY:;TATALON;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;2ND REV. ZV/SQ.M.;;
AGNO SUBD.;STA. MESA HEIGHTS;RR;4,000.00;;
BMA;STA. MESA HEIGHTS;RR;5,000.00;;
BANAWE;STA. MESA HEIGHTS;RR;8,000.00;;
BANAWE;STA. MESA HEIGHTS;CR;10,000.00;;
BATULAO;STA. MESA HEIGHTS;RR;5,000.00;;
CARDIZ;STA. MESA HEIGHTS;RR;5,000.00;;
E. RODRIGUEZ;STA. MESA HEIGHTS;RR;8,000.00;;
E. RODRIGUEZ;STA. MESA HEIGHTS;CR;10,000.00;;
G. ARANETA AVE.;STA. MESA HEIGHTS;RR;6,000.00;;
G. ARANETA AVE.;STA. MESA HEIGHTS;CR;8,000.00;;
KABIGNAYAN;STA. MESA HEIGHTS;RR;5,000.00;;
KALIRAYA;STA. MESA HEIGHTS;RR;4,000.00;;
KITANLAD;STA. MESA HEIGHTS;RR;5,000.00;;
KABABATA;STA. MESA HEIGHTS;RR;5,000.00;;
COLINTAN;STA. MESA HEIGHTS;RR;4,000.00;;
MIRASOL;STA. MESA HEIGHTS;RR;5,000.00;;
QUEZON AVENUE;STA. MESA HEIGHTS;RR;10,000.00;;
QUEZON AVENUE;STA. MESA HEIGHTS;CR;15,000.00;;
RATZAR;STA. MESA HEIGHTS;RR;4,000.00;;
RATZAR;STA. MESA HEIGHTS;APD;0.00;APD -   NO. 39  NW, N  -  KALIRAYA ST. AND AN IMAGINARY LINE                               (APPROXIMATEDLY 8 TO 10 METERSS) EXTENDING KALIRAYA ST. TOWARD SAN JUAN RIVER  E    -   SAN JUAN RIVER & BOTOCAN TRANSMISSION LINE  S  -     E. RODRIGUEZ BLVD. (JOINING ARANETA AVE. & BOTOCAN TRANSMISSION LINE) ARANETA AVE.                               ARANETA AVE. (STARTING FROM E. RODRIGUEZ TOWARDS KITANLAD ST.) KITANLAD ST. (JOINING MANUNGAL ST. FROM KITANLAD TO KABIGNAYAN ST.) KABIGNAYAN ST           (FROM MANUNGAL ST. TO CORDILLERA ST.) CORDILLERA ST.    CONNECTING CALIRAYA ST. & KABIGNAYAN ST.);
VICTORY HILLS;STA. MESA HEIGHTS;RR;5,000.00;;
ALL OTHER STREETS;STA. MESA HEIGHTS;RR;4,000.00;;
TOWNHOUSE (CCT);STA. MESA HEIGHTS;RC;10,000.00;;
CONDOMINIUM;STA. MESA HEIGHTS;RC;15,000.00;;
CONDOMINIUM;STA. MESA HEIGHTS;CC;20,000.00;;
CONDOMINIUM;STA. MESA HEIGHTS;;;;
BARANGAY:;TEACHER'S VILLAGE (EAST);;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;2ND REV. ZV/SQ.M.;;
MABAIT;TEACHER'S VILLAGE - CENTR;RR;4,000.00;;
MADASALIN;TEACHER'S VILLAGE - CENTR;RR;4,000.00;;
MAGINHAWA;TEACHER'S VILLAGE - CENTR;RR;4,000.00;;
MAGITING;TEACHER'S VILLAGE - CENTR;RR;4,000.00;;
MAHIYAIN;TEACHER'S VILLAGE - CENTR;RR;4,000.00;;
MAHABAGIN;TEACHER'S VILLAGE - CENTR;RR;4,000.00;;
MAALALAHANIN;TEACHER'S VILLAGE - CENTR;RR;4,000.00;;
MALINGAP;TEACHER'S VILLAGE - CENTR;RR;4,000.00;;
MAPAGKAWANGGAWA;TEACHER'S VILLAGE - CENTR;RR;4,000.00;;
MASAMBAHIN;TEACHER'S VILLAGE - CENTR;RR;4,000.00;;
MATIMTIMAN;TEACHER'S VILLAGE - CENTR;RR;4,000.00;;
ALL OTHER STREETS;TEACHER'S VILLAGE - CENTR;RR;4,000.00;;
TOWNHOUSE (CCT);TEACHER'S VILLAGE - CENTR;RC;10,000.00;;
CONDOMINIUM;TEACHER'S VILLAGE - CENTR;RC;15,000.00;;
CONDOMINIUM;TEACHER'S VILLAGE - CENTR;CC;20,000.00;;
CONDOMINIUM;TEACHER'S VILLAGE - CENTR;;;;
BARANGAY:;TEACHER'S VILLAGE (WEST);;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;2ND REV. ZV/SQ.M.;;
KALAYAAN AVE.;TEACHER'S VILLAGE - CENTRAL;RR;4,000.00;;
KALAYAAN AVE.;TEACHER'S VILLAGE - CENTRAL;CR;6,000.00;;
MAALALAHANIN;TEACHER'S VILLAGE - CENTRAL;RR;4,000.00;;
MABAIT;TEACHER'S VILLAGE - CENTRAL;RR;4,000.00;;
MAGITING;TEACHER'S VILLAGE - CENTRAL;RR;4,000.00;;
MAHABAGIN;TEACHER'S VILLAGE - CENTRAL;RR;4,000.00;;
MAHIYAIN;TEACHER'S VILLAGE - CENTRAL;RR;4,000.00;;
MALAMIG;TEACHER'S VILLAGE - CENTRAL;RR;4,000.00;;
MALINGAP;TEACHER'S VILLAGE - CENTRAL;RR;4,000.00;;
MALUMANAY;TEACHER'S VILLAGE - CENTRAL;RR;4,000.00;;
MANINGNING;TEACHER'S VILLAGE - CENTRAL;RR;4,000.00;;
MAPAGKAWANGGAWA;TEACHER'S VILLAGE - CENTRAL;RR;4,000.00;;
MASAMBAHIN;TEACHER'S VILLAGE - CENTRAL;RR;4,000.00;;
MATAHIMIK;TEACHER'S VILLAGE - CENTRAL;RR;4,000.00;;
MATIMTIMAN;TEACHER'S VILLAGE - CENTRAL;RR;4,000.00;;
MATINO;TEACHER'S VILLAGE - CENTRAL;RR;4,000.00;;
ALL OTHER STREETS;TEACHER'S VILLAGE - CENTRAL;RR;4,000.00;;
TOWNHOUSE (CCT);TEACHER'S VILLAGE - CENTRAL;RC;10,000.00;;
CONDOMINIUM;TEACHER'S VILLAGE - CENTRAL;RC;15,000.00;;
CONDOMINIUM;TEACHER'S VILLAGE - CENTRAL;CC;20,000.00;;
CONDOMINIUM;TEACHER'S VILLAGE - CENTRAL;;;;
BARANGAY:;UP CAMPUS;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;2ND REV. ZV/SQ.M.;;
ALL STREETS;DILIMAN;GL;0.00;GOVERNMENT LAND;
ALL STREETS;DILIMAN;APD;0.00;AREA FOR PRIORITY DEVELOPMENT;
BARANGAY:;UGONG NORTE;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;2ND REV. ZV/SQ.M.;;
ACROPOLIS SUBD;GREENMEADOWS;RR;8,500.00;;
ACROPOLIS SUBD;GREENMEADOWS;I;8,500.00;;
ARCADIA;CORINTHIAN;RR;12,000.00;;
E. RODRIGUEZ JR. AVE.;GREENMEADOWS;CR;6,000.00;;
E. RODRIGUEZ JR. AVE.;;I;6,000.00;;
CORINTHIAN;CORITHIAN;RR;12,000.00;;
GREENMEADOWS;CORITHIAN;RR;8,500.00;;
GREENWICH;CORITHIAN;RR;12,000.00;;
ORTIGAS (ROBINSON);CORITHIAN;CR;30,000.00;;
TOWNHOUSES (CCT);CORITHIAN;RC;10,000.00;;
CONDOMINIUM;CORITHIAN;RC;15,000.00;;
CONDOMINIUM;;CC;20,000.00;;
CONDOMINIUM;;;;;
BARANGAY:;UP VILLAGE;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;2ND REV. ZV/SQ.M.;;
KALAYAAN AVE.;UP VILLAGE  - CENTRAL;RR;6,000.00;;
KALAYAAN AVE.;UP VILLAGE  - CENTRAL;CR;7,000.00;;
MAALINDOG;UP VILLAGE  - CENTRAL;RR;5,000.00;;
MAAYUSIN;UP VILLAGE  - CENTRAL;RR;5,000.00;;
MAGINHAWA;UP VILLAGE  - CENTRAL;RR;5,000.00;;
MAHARLIKA;UP VILLAGE  - CENTRAL;RR;5,000.00;;
MAHINHIN;UP VILLAGE  - CENTRAL;RR;5,000.00;;
MAHUSAY;UP VILLAGE  - CENTRAL;RR;5,000.00;;
MALAMBING;UP VILLAGE  - CENTRAL;RR;5,000.00;;
MALAMIG;UP VILLAGE  - CENTRAL;RR;5,000.00;;
MAALUMANAY;UP VILLAGE  - CENTRAL;RR;5,000.00;;
MALUSOG;UP VILLAGE  - CENTRAL;RR;5,000.00;;
MANIGO;UP VILLAGE  - CENTRAL;RR;5,000.00;;
MAPAYAPA;UP VILLAGE  - CENTRAL;RR;5,000.00;;
MASINSIN;UP VILLAGE  - CENTRAL;RR;5,000.00;;
MATAHIMIK;UP VILLAGE  - CENTRAL;RR;5,000.00;;
MATIWASAY;UP VILLAGE  - CENTRAL;RR;5,000.00;;
MAYAMAN;UP VILLAGE  - CENTRAL;RR;5,000.00;;
ALL OTHER STREETS;UP VILLAGE  - CENTRAL;RR;5,000.00;;
TOWNHOUSE (CCT);UP VILLAGE  - CENTRAL;RC;10,000.00;;
CONDOMINIUM;UP VILLAGE  - CENTRAL;RC;15,000.00;;
CONDOMINIUM;UP VILLAGE  - CENTRAL;CC;20,000.00;;
BARANGAY:;VALENCIA;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;2ND REV. ZV/SQ.M.;;
AURORA BLVD;NEW MANILA;RR;10,000.00;;
AURORA BLVD;NEW MANILA;CR;13,000.00;;
BROADWAY;BROADWAY CENTRUM;RR;10,000.00;;
BROADWAY;BROADWAY CENTRUM;CR;12,000.00;;
CASTILLAS;NEW MANILA;RR;5,000.00;;
CASTILLAS;NEW MANILA;CR;6,000.00;;
N. DOMINGO;NEW MANILA;RR;7,000.00;;
N. DOMINGO;NEW MANILA;CR;8,000.00;;
VALENCIA;NEW MANILA;RR;5,000.00;;
VALENCIA;NEW MANILA;CR;8,000.00;;
ALL OTHER STREETS;;RR;5,000.00;;
TOWNHOUSE (CCT);;RC;10,000.00;;
CONDOMINIUM;;RC;15,000.00;;
CONDOMINIUM;;CC;20,000.00;;
CONDOMINIUM;;;;;
BARANGAY:;VILLA MARIA CLARA;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;2ND REV. ZV/SQ.M.;;
J. BRACKEN;QUIRINO;RR;4,000.00;;
J. P. RIZAL;;RR;4,000.00;;
J. P. RIZAL;;CR;5,000.00;;
J. OCAMPO;;RR;4,000.00;;
KALANTIAW;;RR;4,000.00;;
PELAEZ;;RR;4,000.00;;
R. MATANDA;;RR;4,000.00;;
P. TECSON;;RR;4,000.00;;
S. ALVAREZ;;RR;4,000.00;;
T. MASCARDO;;RR;4,000.00;;
ALL OTHER STREETS;;RR;4,000.00;;
TOWNHOUSE (CCT);;RC;10,000.00;;
CONDOMINIUM;;RC;15,000.00;;
CONDOMINIUM;;CC;20,000.00;;
CONDOMINIUM;;;;;
BARANGAY:;WHITE PLAINS;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;2ND REV. ZV/SQ.M.;;
KATIPUNAN AVE.;MURPHY;RR;5,000.00;;
ALL OTHER STREETS;MURPHY;RR;5,000.00;;
TOWNHOUSE (CCT);MURPHY;RC;10,000.00;;
CONDOMINIUM;MURPHY;RC;15,000.00;;
CONDOMINIUM;MURPHY;CC;20,000.00;;
